Test.ID,Valve.ID,Valve.Rev,Fluid,Time.Between.Actuations_hr,Plunger.Age,Coil.Age,Voltage,Seal.Type,Seal.Age,Response.Time_ms
STOT005,T1,Old,A,24,Old,Old,30,A,Old,51.2
STOT005,T1,Old,A,24,Old,Old,30,A,Old,44.8
STOT005,T1,Old,A,24,Old,Old,30,A,Old,57.6
STOT005,T1,Old,A,24,Old,Old,30,A,Old,45.6
STOT005,T1,Old,A,24,Old,Old,30,A,Old,59.2
STOT005,T1,Old,A,24,Old,Old,30,A,Old,52
STOT006,T1,Old,A,72,Old,Old,30,A,Old,56.8
STOT006,T1,Old,A,72,Old,Old,30,A,Old,22
STOT006,T1,Old,A,72,Old,Old,30,A,Old,30.4
STOT006,T1,Old,A,72,Old,Old,30,A,Old,36.4
STOT006,T1,Old,A,72,Old,Old,30,A,Old,36.8
STOT006,T1,Old,A,72,Old,Old,30,A,Old,42.4
STOT006,T1,Old,A,72,Old,Old,30,A,Old,42.8
STOT006,T1,Old,A,72,Old,Old,30,A,Old,47.2
STOT006,T1,Old,A,72,Old,Old,30,A,Old,44.8
STOT006,T1,Old,A,72,Old,Old,30,A,Old,40.4
STOT006,T1,Old,A,72,Old,Old,30,A,Old,47.6
STOT006,T1,Old,A,72,Old,Old,30,A,Old,37.6
STOT006,T1,Old,A,72,Old,Old,30,A,Old,34.8
STOT006,T1,Old,A,72,Old,Old,30,A,Old,46.4
STOT006,T1,Old,A,72,Old,Old,30,A,Old,38
STOT006,T1,Old,A,72,Old,Old,30,A,Old,49.2
STOT006,T1,Old,A,72,Old,Old,30,A,Old,44.4
STOT006,T1,Old,A,72,Old,Old,30,A,Old,37.6
STOT006,T1,Old,A,72,Old,Old,30,A,Old,47.2
STOT006,T1,Old,A,72,Old,Old,30,A,Old,42
STOT006,T1,Old,A,72,Old,Old,30,A,Old,48.8
STOT006,T1,Old,A,72,Old,Old,30,A,Old,43.6
STOT006,T1,Old,A,72,Old,Old,30,A,Old,47.6
STOT006,T1,Old,A,72,Old,Old,30,A,Old,44.4
STOT006,T1,Old,A,72,Old,Old,30,A,Old,38.8
STOT006,T1,Old,A,72,Old,Old,30,A,Old,47.2
STOT006,T1,Old,A,72,Old,Old,30,A,Old,42.8
